Category,Sign-Language Family,Country,Language of Country,Code,,Notes
Finland-Swedish Sign Language,"BANZSL, Swedish Sign",Finland,Finnish,fi,Swedish,"""finlandssvenskt teckenspråk"" (Swedish) or ""suomenruotsalainen viittomakieli"" (Finnish). A single Swedish school in Finland, now closed."
Flemish Sign Language,"French Sign, Flemish Sign Language","Flanders, Belgium","Dutch, French, German","nl, fr, de",Lyons?:Belgian,"""Vlaamse Gebarentaal"" (VGT)"
French Sign Language,French Sign,"France, Switzerland, Mali, Rwanda, Congo, Togo, Vietnam",French,fr,,"""Langues des Signes Française"" (LSF)"
Georgian Sign Language,Village Sign ,Georgia,Georgian,ka, ?,[1]
German Sign Language,German Sign Language,Germany,German,de,German,"""Deutsche Gebärdensprache"" (DGS)"
Greek Sign Language,"French Sign, Greek Sign Language ",Greece,Greek,el,"French-French Sign, ASL mix","""________ _________ ______"" (GSL)"
Hungarian Sign Language,"French Sign, Austro-Hungarian Sign",Hungary,Hungarian,hu,,"""Magyar jelnyelv"""
Icelandic Sign Language,"French Sign, Danish Sign Language",Iceland,Icelandic,is,French:Danish,"""Íslenskt Táknmál"""
Irish Sign Language,"French Sign, Irish Sign Language ",Republic of Ireland ,Irish,ga,French,"""Teanga Chomharthaíochta na hÉireann"" (ISL/ISG and TCÉ)"
Italian Sign Language,"French Sign, Italian Sign Language",Italy,Italian,it,French,"""Lingua dei Segni Italiana"" (LIS)"
Kosovar Sign Language,"French Sign, Austro-Hungarian Sign",Kosovo,Serbian,sr,French:Austro-Hungarian:Yugoslav,"""Gjuha e Shenjave Kosovare"" (GjShK)"
Latvian Sign Language,"French Sign, Latvian Sign Language",Latvia,Latvian,lv,French,"""Latvie_u Z_mju Valoda"""
Lithuanian Sign Language,Village Sign ,Lithuania,Lithuanian,lt,,"""Lietuvi_ gest_ kalba"""
Lyons Sign Language,Village Sign ,France,French,fr,isolate (or Lyons family),
Macedonian Sign Language,Village Sign ,Macedonia,Macedonian,mk, ?,__________ ________ _____ / Makedonski znakoven jazik
Maltese Sign Language,Village Sign ,Malta,Maltese,mt,,"""Lingwi tas-Sinjali Maltin"" (LSM)"
Northern Ireland Sign Language,"BANZSL, British Sign Language","Ireland, UK",Irish,ga,British (mixed),
Norwegian Sign Language,"French Sign, Danish Sign Language",Norway,Norwegian,no,French:Danish,"""Tegnspråk"" (NSL)"
Polish Sign Language,"German Sign, Polish Sign Language",Poland,Polish,pl,German,"""Polski J_zyk Migowy"" (PJM)"
Portuguese Sign Language,"Swedish Sign, Portugese Sign Language",Portugal,Portuguese,pt,Swedish,"""Língua Gestual Portuguesa"" (LGP)"
Romanian Sign Language,"French Sign, Romanian Sign Language",Romania,Romanian,ro,French,"""Limbaj Mimico-Gestual Românesc"" (LMG)"
Russian Sign Language,"French Sign, Austro-Hungarian Sign","  Russia, Ukraine, Belarus, Kazakhstan, Tajikistan, Uzbekistan, Moldova",Russian,ru,French:Austro-Hungarian,"""Russkiy zhestovyi yazyk"" / _______ ________ ____"
Slovakian Sign Language,"French Sign, Austro-Hungarian Sign",Slovakia,Slovak,sk,,"""Slovensk_ posunkov_ jazyk"""
Slovenian Sign Language,"French Sign, Austro-Hungarian Sign",Slovenia,Slovenian,sl,French:Austro-Hungarian:Yugoslav,"""Slovenski znakovni jezik"""
Spanish Sign Language,Spanish Sign Language,Spain,Spanish,es,isolate,"""Lengua de signos española"" (LSE)"
Swedish Sign Language,Swedish Sign,Sweden,Swedish,sv,Swedish,"""Svenskt teckenspråk"" (TSP)"
Swiss-French Sign Language,French Sign,"Switzerland, France",German,de,French?,"""Langage Gestuelle"""
Swiss-German Sign Language,Swiss-German Sign Language,"Switzerland, Germany",German,de,French?,"""Deutschschweizer Gebärdensprache"" (DSGS)"
Swiss-Italian Sign Language,"French Sign, Italian Sign Language","Switzerland, Italy",Italian,it,French?,
Ukrainian Sign Language,"French Sign, Austro-Hungarian Sign",Ukraine,Ukrainian,uk,,"""__________ ____ ______"""
Valencian Sign Language,Catalan Sign Language,"Valencia, Spain",Spanish,es,,"""Llengua de Signes en la Comunitat Valenciana"" (LSCV)"
Walloon Sign Language,"French Sign, French Belgian Sign Language",Belgium ,"Dutch, French, German","nl, fr, de",Lyons?:Belgian,"French Community inside Belgium, ""Langue des Signes de Belgique Francophone"" (LSFB)"
Yugoslav Sign Language,"French Sign, Austro-Hungarian Sign",,,,French:Austro-Hungarian,
,,,,,,
Middle East,,,,,,
Al-Sayyid Bedouin Sign Language,Village Sign,"Negev, Israel","Hebrew, Arabic","iw, ar",village,"(ABSL), Negev"
Egyptian Sign Language,"Arab Sign, Egyptian Sign Language ",Egypt ,Arabic,ar,Arab,
Emirati Sign Language,Arab Sign Language,United Arab Emirates ,Arabic ,ar,Arab?,
